ParName   Value   Gradient
SR_parm[1]      17.4334  -1.1859e-06
SR_parm[2]     0.781712 -3.95531e-07
recdev_early(1963)    -0.589534  1.27042e-07
recdev_early(1964)    -0.672456  -1.3525e-07
recdev_early(1965)    -0.755812     -2.9e-07
recdev_early(1966)     -0.83606 -8.37004e-08
recdev_early(1967)    -0.886055  1.30775e-07
recdev_early(1968)    -0.985831 -3.62462e-10
recdev_early(1969)     -1.00727 -7.43698e-08
recdev_early(1970)    -0.572566 -3.00973e-07
recdev_early(1971)    -0.824739 -9.70877e-08
recdev_early(1972)    -0.542408 -1.69919e-07
recdev_early(1973)    -0.255808 -1.20602e-07
recdev_early(1974)    -0.450594  2.78328e-07
recdev_early(1975)     0.305723 -7.48815e-07
recdev_early(1976)    -0.697371 -6.17658e-07
recdev_early(1977)       -1.146 -2.64331e-07
recdev_early(1978)     -1.18095 -8.47935e-08
recdev_early(1979)    -0.217279  3.32497e-07
recdev1(1980)    -0.776497 -8.24152e-08
recdev1(1981)    -0.366446  5.48693e-07
recdev1(1982)     0.115749  -2.8342e-07
recdev1(1983)     0.368384  -4.3955e-07
recdev1(1984)     0.173667 -2.80882e-07
recdev1(1985)    -0.692615 -4.99296e-08
recdev1(1986)   -0.0289586 -1.16275e-06
recdev1(1987)    -0.751525 -4.30206e-07
recdev1(1988)     0.693231 -3.09419e-07
recdev1(1989)     0.588008  3.50235e-07
recdev1(1990)   0.00586703  1.05068e-06
recdev1(1991)     0.148289  5.73729e-07
recdev1(1992)     0.210763  7.05147e-07
recdev1(1993)    -0.239747 -1.56661e-07
recdev1(1994)  0.000820281  8.51242e-07
recdev1(1995)    -0.212736 -9.06676e-08
recdev1(1996)    -0.337651  8.58597e-07
recdev1(1997)     0.279041  4.49655e-07
recdev1(1998)    -0.259161 -4.75994e-07
recdev1(1999)     0.142612  2.13057e-07
recdev1(2000)   -0.0584075  3.08683e-08
recdev1(2001)      0.34945  -3.7666e-07
recdev1(2002)      1.04126 -1.82721e-07
recdev1(2003)    -0.429234  -5.4333e-07
recdev1(2004)     -0.38285  4.79687e-07
recdev1(2005)   -0.0663006  7.34862e-07
recdev1(2006)     0.295082  1.04186e-06
recdev1(2007)   -0.0192093   1.2307e-07
recdev1(2008)     0.302427 -3.02086e-07
recdev1(2009)      0.12992 -1.16956e-06
recdev1(2010)    -0.282289 -1.19256e-07
recdev1(2011)    0.0896482 -8.16885e-07
recdev1(2012)    -0.185204 -2.55202e-07
recdev1(2013)   -0.0501368 -3.86141e-08
recdev1(2014)     0.490195  2.74293e-07
recdev1(2015)   -0.0595132 -7.96455e-07
recdev1(2016)     0.391639 -4.54454e-07
recdev1(2017)    -0.193019  -1.3238e-07
recdev1(2018)    -0.424555 -1.21714e-09
init_F[1]    0.0288851  4.19947e-07
selparm[3]      1.29737  -8.3094e-07
selparm[4]     0.358481 -3.52072e-07
selparm[5]     0.123715  3.17273e-07
selparm[6]     0.119171 -4.76616e-07
selparm[7]   0.00196153 -4.95764e-07
selparm[24]     0.506555 -2.24591e-07
selparm[25]     0.363823  7.52557e-07
selparm[26]   -0.0499049 -1.88156e-07
selparm[27]    0.0763594  -1.5788e-07
selparm[28]     0.127751 -1.71728e-07
selparm[47]       0.1008 -3.62884e-07
